                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2116,                0.86403,                 1.2148,                0.89149,                0.82298,                0.91035,                0.59685,                 1.1643,                0.81033,                 1.1791,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2157,                0.86423,                 1.2145,                  0.893,                0.82333,                0.91063,                0.59706,                 1.1641,                0.80992,                 1.1789,               0.006634,               0.006634,               0.006634
                     71,                 1.2155,                0.86622,                 1.2174,                0.89267,                0.82345,                0.91079,                0.59735,                 1.1647,                0.80812,                 1.1787,              0.0065845,              0.0065845,              0.0065845
                     72,                  1.219,                0.86847,                 1.2217,                0.89262,                0.82351,                0.91077,                0.59764,                 1.1648,                0.80848,                 1.1788,               0.006535,               0.006535,               0.006535
                     73,                  1.218,                0.86601,                 1.2184,                0.89281,                0.82368,                0.91057,                0.59744,                 1.1648,                0.80798,                 1.1787,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.2166,                0.86418,                 1.2178,                0.89402,                 0.8228,                0.91075,                0.59748,                 1.1646,                0.80702,                 1.1787,               0.006436,               0.006436,               0.006436
                     75,                 1.2134,                0.86029,                 1.2171,                0.89451,                0.82263,                0.91107,                0.59737,                 1.1646,                0.80543,                 1.1786,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.2137,                0.86146,                 1.2147,                0.89326,                0.82316,                0.91096,                0.59794,                 1.1644,                0.80503,                 1.1783,               0.006337,               0.006337,               0.006337
                     77,                 1.2145,                0.86131,                 1.2156,                0.89309,                0.82321,                0.91093,                0.59784,                 1.1646,                0.80512,                 1.1782,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2102,                0.85793,                 1.2148,                0.89412,                0.82269,                0.91119,                0.59782,                 1.1642,                 0.8049,                  1.178,               0.006238,               0.006238,               0.006238
                     79,                 1.2122,                0.85908,                 1.2164,                0.89383,                0.82316,                0.91115,                0.59756,                 1.1637,                0.80498,                 1.1778,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2099,                0.85685,                 1.2147,                0.89371,                0.82305,                0.91113,                0.59814,                 1.1635,                0.80364,                 1.1778,               0.006139,               0.006139,               0.006139
                     81,                 1.2108,                0.85977,                 1.2155,                0.89378,                0.82333,                0.91116,                0.59792,                 1.1635,                0.80439,                 1.1775,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.2139,                 0.8563,                 1.2147,                0.89095,                0.82438,                0.91114,                0.59799,                 1.1632,                0.80394,                 1.1774,                0.00604,                0.00604,                0.00604
                     83,                 1.2118,                0.85592,                 1.2138,                 0.8932,                0.82321,                0.91128,                0.59825,                 1.1631,                  0.803,                 1.1773,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2107,                0.85454,                 1.2143,                0.89322,                0.82345,                0.91137,                0.59848,                 1.1629,                0.80219,                 1.1771,               0.005941,               0.005941,               0.005941
                     85,                 1.2113,                0.85281,                 1.2116,                0.89255,                 0.8245,                0.91153,                0.59866,                  1.163,                0.80139,                 1.1771,              0.0058915,              0.0058915,              0.0058915
                     86,                  1.211,                0.85518,                 1.2146,                0.89448,                0.82387,                0.91158,                0.59901,                 1.1625,                0.80179,                 1.1768,               0.005842,               0.005842,               0.005842
                     87,                  1.209,                0.85152,                 1.2138,                0.89322,                 0.8247,                0.91149,                0.59887,                 1.1622,                0.80157,                 1.1767,              0.0057925,              0.0057925,              0.0057925
                     88,                   1.21,                0.85174,                 1.2102,                0.89193,                0.82435,                0.91137,                 0.5989,                 1.1624,                 0.8009,                 1.1767,               0.005743,               0.005743,               0.005743
                     89,                 1.2051,                0.85046,                 1.2091,                 0.8903,                0.82661,                0.91156,                0.59881,                 1.1623,                0.80029,                 1.1766,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2043,                0.84989,                 1.2124,                0.89016,                0.82638,                0.91173,                0.59883,                 1.1621,                 0.8001,                 1.1764,               0.005644,               0.005644,               0.005644
                     91,                 1.2132,                0.85257,                 1.2144,                0.88993,                0.82732,                0.91192,                0.59916,                  1.162,                0.79978,                 1.1763,              0.0055945,              0.0055945,              0.0055945
                     92,                  1.209,                0.84678,                 1.2108,                0.89092,                0.82708,                0.91188,                0.59923,                 1.1618,                 0.7998,                 1.1762,               0.005545,               0.005545,               0.005545
                     93,                  1.208,                0.85326,                 1.2126,                0.88996,                0.82755,                0.91202,                0.59911,                 1.1618,                0.79915,                 1.1762,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2091,                0.85024,                 1.2123,                0.88961,                0.82765,                0.91225,                0.59933,                 1.1617,                0.79847,                 1.1762,               0.005446,               0.005446,               0.005446
                     95,                  1.206,                0.84529,                 1.2124,                   0.89,                0.82696,                0.91239,                0.59956,                 1.1614,                0.79827,                 1.1759,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2078,                0.84924,                 1.2133,                0.89065,                0.82673,                0.91217,                0.59961,                 1.1611,                0.79776,                 1.1757,               0.005347,               0.005347,               0.005347
                     97,                 1.2043,                0.84906,                 1.2104,                0.89085,                0.82649,                 0.9123,                0.59989,                 1.1609,                0.79777,                 1.1756,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2014,                0.84335,                 1.2077,                0.89036,                0.82635,                0.91241,                0.59982,                 1.1607,                0.79731,                 1.1753,               0.005248,               0.005248,               0.005248
                     99,                 1.2058,                 0.8464,                 1.2096,                0.89077,                0.82579,                0.91229,                0.59975,                 1.1605,                0.79687,                 1.1753,              0.0051985,              0.0051985,              0.0051985
