                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2026,                0.68407,                 1.2181,                0.89455,                0.83376,                0.92132,                0.61365,                 1.1591,                 0.5868,                 1.1798,               0.005446,               0.005446,               0.005446
                     49,                 1.1954,                0.68217,                 1.2115,                0.89675,                0.83392,                0.92191,                0.61493,                 1.1579,                0.58592,                 1.1772,               0.005347,               0.005347,               0.005347
                     50,                 1.2006,                0.68398,                  1.217,                0.89775,                0.83577,                0.92152,                0.61526,                 1.1585,                0.58547,                 1.1767,               0.005248,               0.005248,               0.005248
                     51,                 1.1963,                0.68176,                 1.2136,                0.89591,                0.83651,                0.92125,                0.61484,                 1.1584,                0.58514,                 1.1761,               0.005149,               0.005149,               0.005149
                     52,                 1.1947,                0.67783,                 1.2111,                 0.8965,                0.83775,                0.92128,                0.61577,                 1.1579,                0.58319,                  1.175,                0.00505,                0.00505,                0.00505
                     53,                 1.1931,                0.67501,                 1.2094,                0.89493,                 0.8374,                 0.9219,                0.61496,                 1.1586,                0.58393,                 1.1743,               0.004951,               0.004951,               0.004951
                     54,                 1.1883,                0.67345,                 1.2083,                0.89628,                0.83681,                0.92268,                0.61594,                 1.1565,                0.58315,                 1.1725,               0.004852,               0.004852,               0.004852
                     55,                 1.1851,                0.67458,                 1.2053,                0.89698,                0.83599,                0.92282,                0.61599,                 1.1565,                0.58214,                 1.1724,               0.004753,               0.004753,               0.004753
                     56,                 1.1852,                0.67062,                 1.2085,                0.89696,                0.83646,                0.92331,                0.61689,                 1.1567,                0.58104,                 1.1727,               0.004654,               0.004654,               0.004654
                     57,                 1.1796,                0.66834,                 1.2051,                0.89465,                0.83728,                0.92302,                0.61752,                 1.1557,                0.57958,                 1.1727,               0.004555,               0.004555,               0.004555
                     58,                 1.1816,                0.66715,                 1.2035,                0.89671,                0.83623,                0.92323,                0.61715,                 1.1553,                0.57947,                 1.1724,               0.004456,               0.004456,               0.004456
                     59,                 1.1763,                0.66593,                 1.2019,                0.89769,                0.83494,                0.92434,                0.61731,                 1.1549,                0.57822,                 1.1722,               0.004357,               0.004357,               0.004357
                     60,                 1.1782,                0.66584,                  1.201,                0.90035,                0.83571,                0.92444,                0.61836,                 1.1541,                0.57793,                 1.1714,               0.004258,               0.004258,               0.004258
