                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.2592,                0.74367,                 1.2353,                0.88198,                0.82087,                0.90786,                0.59405,                 1.1988,                0.61839,                 1.1858,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2631,                0.74446,                 1.2416,                0.88286,                0.81852,                0.90832,                0.59474,                 1.1988,                 0.6181,                 1.1858,               0.006931,               0.006931,               0.006931
                     65,                 1.2595,                0.74457,                 1.2366,                0.88151,                0.82157,                0.90855,                 0.5948,                 1.1984,                0.61793,                 1.1856,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2567,                0.74249,                 1.2329,                0.88216,                0.82028,                0.90836,                0.59459,                 1.1978,                0.61737,                 1.1846,               0.006832,               0.006832,               0.006832
                     67,                 1.2579,                0.74397,                 1.2345,                0.88224,                0.82298,                0.90858,                0.59493,                 1.1968,                0.61663,                 1.1841,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2557,                0.73767,                 1.2335,                 0.8825,                0.82298,                0.90966,                0.59521,                 1.1964,                0.61664,                 1.1838,               0.006733,               0.006733,               0.006733
                     69,                 1.2587,                0.74122,                 1.2311,                0.88226,                0.82224,                0.90914,                0.59539,                  1.196,                 0.6163,                 1.1834,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2644,                0.74472,                  1.237,                0.88324,                0.82157,                0.90955,                0.59516,                 1.1962,                0.61603,                 1.1834,               0.006634,               0.006634,               0.006634
                     71,                 1.2601,                 0.7433,                 1.2353,                0.88375,                0.82204,                0.90959,                0.59497,                  1.196,                0.61575,                 1.1835,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2611,                0.74738,                 1.2343,                0.88376,                0.82091,                0.90985,                0.59468,                 1.1956,                0.61509,                  1.183,               0.006535,               0.006535,               0.006535
                     73,                 1.2585,                0.74298,                 1.2301,                0.88354,                0.82185,                0.91044,                0.59537,                 1.1948,                0.61496,                 1.1826,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.2642,                 0.7497,                 1.2356,                0.88327,                0.82232,                 0.9104,                0.59499,                 1.1946,                0.61496,                 1.1825,               0.006436,               0.006436,               0.006436
                     75,                 1.2586,                0.74748,                 1.2332,                0.88414,                0.82134,                0.91038,                0.59499,                 1.1947,                 0.6145,                 1.1825,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.261,                0.74727,                 1.2304,                0.88583,                0.82049,                 0.9105,                0.59532,                 1.1945,                0.61425,                 1.1823,               0.006337,               0.006337,               0.006337
                     77,                 1.2623,                0.74939,                 1.2304,                0.88592,                0.82025,                0.91072,                0.59547,                 1.1944,                 0.6145,                 1.1822,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2557,                 0.7451,                 1.2298,                0.88606,                0.82028,                0.91078,                0.59545,                 1.1943,                0.61426,                 1.1821,               0.006238,               0.006238,               0.006238
                     79,                 1.2595,                 0.7454,                 1.2264,                0.88639,                0.82048,                0.91073,                0.59581,                 1.1937,                0.61412,                 1.1818,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2571,                0.74491,                 1.2287,                0.88712,                0.81958,                0.91063,                0.59588,                 1.1939,                0.61397,                 1.1815,               0.006139,               0.006139,               0.006139
                     81,                 1.2529,                 0.7431,                  1.226,                0.88733,                0.81988,                0.91052,                0.59551,                 1.1939,                0.61393,                 1.1815,              0.0060895,              0.0060895,              0.0060895
                     82,                  1.254,                0.74142,                 1.2226,                0.88781,                0.81958,                0.91062,                0.59559,                 1.1938,                0.61376,                 1.1816,                0.00604,                0.00604,                0.00604
                     83,                 1.2527,                0.74134,                 1.2244,                0.88749,                0.82118,                  0.911,                0.59579,                 1.1934,                0.61354,                 1.1815,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2561,                0.74174,                 1.2264,                0.88676,                0.82165,                0.91108,                0.59615,                 1.1931,                0.61342,                 1.1812,               0.005941,               0.005941,               0.005941
                     85,                 1.2601,                0.74795,                 1.2292,                0.88417,                0.82356,                0.91119,                0.59579,                 1.1935,                0.61334,                 1.1812,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2565,                0.74301,                 1.2247,                0.88374,                0.82462,                 0.9111,                0.59593,                 1.1932,                0.61332,                 1.1811,               0.005842,               0.005842,               0.005842
                     87,                 1.2546,                0.74139,                 1.2229,                0.88421,                0.82392,                 0.9112,                0.59592,                 1.1932,                0.61317,                  1.181,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.2543,                 0.7407,                 1.2244,                0.88432,                0.82361,                0.91133,                0.59632,                 1.1933,                  0.613,                 1.1809,               0.005743,               0.005743,               0.005743
                     89,                 1.2533,                0.74082,                 1.2211,                0.88472,                0.82356,                0.91105,                0.59605,                 1.1938,                0.61311,                 1.1808,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2476,                0.73692,                 1.2214,                0.88448,                0.82345,                0.91105,                0.59625,                 1.1938,                0.61279,                 1.1807,               0.005644,               0.005644,               0.005644
                     91,                  1.253,                0.73747,                 1.2229,                0.88518,                0.82422,                0.91155,                0.59626,                 1.1937,                0.61266,                 1.1807,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2469,                0.73642,                 1.2201,                0.88444,                0.82459,                0.91168,                0.59601,                  1.194,                0.61249,                 1.1807,               0.005545,               0.005545,               0.005545
                     93,                 1.2513,                0.73709,                   1.22,                0.88485,                0.82403,                0.91159,                0.59636,                 1.1939,                0.61237,                 1.1806,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2493,                0.73779,                 1.2189,                  0.886,                0.82365,                0.91158,                0.59632,                 1.1938,                0.61209,                 1.1804,               0.005446,               0.005446,               0.005446
                     95,                  1.253,                0.73548,                 1.2205,                0.88554,                0.82356,                0.91134,                 0.5965,                 1.1937,                 0.6119,                 1.1803,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2494,                0.73614,                 1.2221,                0.88508,                0.82345,                0.91142,                0.59672,                 1.1941,                0.61195,                 1.1804,               0.005347,               0.005347,               0.005347
                     97,                 1.2534,                0.73679,                 1.2205,                0.88411,                0.82462,                 0.9116,                0.59636,                 1.1939,                0.61181,                 1.1802,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2491,                0.73231,                 1.2174,                0.88447,                0.82392,                0.91145,                 0.5968,                  1.194,                0.61218,                 1.1802,               0.005248,               0.005248,               0.005248
                     99,                  1.249,                0.73393,                 1.2193,                0.88641,                0.82247,                0.91162,                0.59682,                 1.1938,                0.61188,                 1.1802,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2498,                0.73564,                 1.2181,                0.88769,                0.82187,                0.91164,                0.59678,                 1.1942,                0.61165,                 1.1801,               0.005149,               0.005149,               0.005149
                    101,                 1.2439,                0.73283,                 1.2164,                0.88657,                0.82282,                0.91211,                 0.5968,                 1.1944,                0.61194,                 1.1801,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.2427,                0.73171,                  1.216,                0.88674,                 0.8233,                0.91199,                0.59711,                 1.1942,                0.61196,                 1.1799,                0.00505,                0.00505,                0.00505
                    103,                 1.2464,                0.73321,                 1.2135,                 0.8868,                 0.8238,                0.91254,                0.59713,                  1.194,                0.61201,                 1.1798,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.2503,                0.73466,                 1.2182,                0.88635,                0.82286,                0.91206,                 0.5971,                 1.1942,                0.61189,                 1.1798,               0.004951,               0.004951,               0.004951
                    105,                 1.2476,                0.73311,                 1.2161,                0.88697,                0.82239,                0.91239,                0.59729,                 1.1943,                0.61158,                 1.1797,              0.0049015,              0.0049015,              0.0049015
